customer_id,full_name,email,phone,region,state,segment,join_date,status,is_active,customer_age
CUST-0524,Laura Bennett,pdiaz@example.org,1400894346.0,North,AZ,B2B,2022-08-26,Active,1,55.0
CUST-0662,Kevin Alvarez,mramos@example.net,1300184186.0,North,TN,B2B,2024-08-10,Active,1,25.0
CUST-0071,Marissa Webster,,,North,,,2020-12-29,Inactive,0,45.0
CUST-0061,,juliawells@example.com,4748467737.0,Central,NY,B2C,2024-09-14,Churned,0,31.0
CUST-0627,Nancy Sanchez,,,East,,,2025-03-08,Active,1,33.0
CUST-0262,Cameron Irwin,,,South,,,2024-12-24,Churned,0,75.0
CUST-0362,Carol Moore,shannonemily@example.org,1593305172.0,Central,GA,B2C,2024-08-29,Active,1,65.0
CUST-0399,Blake Reed,gary15@example.com,9519712847.0,Central,TX,B2C,2021-08-09,Active,1,23.0
CUST-0343,Mariah Williams,jessica36@example.net,8195761228.0,West,NC,B2C,2023-07-29,Active,1,72.0
CUST-0437,Carl Green,,,South,,,2022-11-28,Active,1,26.0
CUST-0531,Lawrence Ruiz,ajackson@example.net,1470185106.0,Central,IL,B2C,2021-02-20,Churned,0,69.0
CUST-0333,Laura Patel,mariopadilla@example.com,8452088147.0,East,FL,B2C,2022-03-03,Active,1,70.0
CUST-0140,Jason Wilson,,,East,,,2020-11-08,Inactive,0,64.0
CUST-0882,Brittany Farrell,jbrown@example.org,4898123179.0,East,AZ,Guest,2024-08-03,Active,1,55.0
CUST-0760,Stephanie Hall,nguyencorey@example.net,1584588105.0,Central,GA,B2C,2022-02-06,Active,1,34.0
CUST-0313,Brittany Cuevas,,,Central,,,2025-06-01,Active,1,40.0
CUST-0925,Jeffrey Hardin,,,East,,,2022-05-08,Active,1,39.0
CUST-0142,Mason Johnson,bboone@example.net,6549904530.0,North,GA,B2C,2024-11-05,Active,1,20.0
CUST-0300,,,,East,,,2021-11-07,Active,1,56.0
CUST-0777,,brownmichael@example.com,3206021288.0,West,TN,B2C,2023-05-30,Active,1,63.0
CUST-0718,Susan Stevenson,lwood@example.com,1928123567.0,Central,FL,B2C,2021-05-11,Active,1,48.0
CUST-0949,Laura Hogan,ann18@example.org,7977524418.0,South,TN,Guest,2021-10-26,Active,1,60.0
CUST-0089,Jennifer Jones,,,South,,,2021-05-19,Active,1,27.0
CUST-0843,Daniel Flynn,william46@example.net,2555572773.0,Central,AZ,B2B,2024-12-04,Active,1,33.0
CUST-0306,Krista Benton,nhahn@example.com,6902770384.0,South,CA,B2C,2021-12-10,Active,1,57.0
CUST-0102,Jennifer Robertson,,,West,,,2021-05-25,Inactive,0,20.0
CUST-0311,Lonnie Hart,vrasmussen@example.com,6341651827.0,East,PA,B2B,2023-06-06,Active,1,68.0
CUST-0860,Robert Martinez,,,Central,,,2026-05-15,Active,1,20.0
CUST-0452,Elizabeth Stanley,,,East,,,2026-03-30,Active,1,
CUST-0097,Kyle Preston,,,South,,,2024-08-11,Active,1,35.0
CUST-0815,Hannah Martin,williamjones@example.net,4781050922.0,South,TX,B2C,2022-10-08,Inactive,0,34.0
CUST-0793,Kayla Brown,raymond65@example.com,3558108358.0,South,NY,B2C,2023-02-11,Active,1,51.0
CUST-0031,Kimberly Adkins,,,Central,,,2020-11-27,Churned,0,60.0
CUST-0159,James Padilla,charles06@example.org,2100623120.0,South,NC,B2C,2024-01-27,Active,1,22.0
CUST-0689,Melissa Jensen,martin38@example.org,4550272751.0,West,IL,B2C,2025-10-06,Active,1,35.0
CUST-0055,Jeremy Lewis,,,Central,,,2023-02-25,Active,1,29.0
CUST-0024,Carlos Walls,,,East,,,2024-07-16,Inactive,0,63.0
CUST-0612,Jimmy Ortega,jacksonhenry@example.com,7668633414.0,North,TX,B2B,2025-04-25,Inactive,0,25.0
CUST-0740,Michael Mosley,tom73@example.org,9601467238.0,East,MA,B2C,2026-01-11,Active,1,32.0
CUST-0645,Cole Anderson,,,South,TX,,2022-09-27,Active,1,59.0
CUST-0634,Amy Pena,jonesdonna@example.net,1346511131.0,Central,CA,B2B,2026-05-03,Active,1,20.0
CUST-0602,Ronald Rocha,,,West,,,2024-05-24,Active,1,72.0
CUST-0179,Brittany White,jenniferwilliams@example.com,4825867362.0,South,WA,B2C,2021-07-11,Active,1,20.0
CUST-0004,Christopher Bernard,curtis61@example.com,1510341316.0,West,WA,B2C,2024-01-03,Active,1,20.0
CUST-0278,Juan Silva,,,West,,,2021-08-26,Churned,0,27.0
CUST-0594,Christine Price,sharon20@example.net,3674233629.0,South,IL,B2C,2024-11-04,Active,1,43.0
CUST-0293,Jeffrey Roberson,,,Central,,,2023-05-09,Inactive,0,46.0
CUST-0299,Jason Maxwell,ashleyjackson@example.com,8621038862.0,Central,TX,B2B,2023-09-08,Churned,0,67.0
CUST-0817,Tami York,,,South,GA,B2B,2021-04-01,Active,1,69.0
CUST-0874,Alyssa Cherry,christinesolomon@example.com,1602155732.0,West,FL,B2C,2023-11-20,Active,1,65.0
CUST-0232,Dana Armstrong,leescott@example.com,5741608989.0,Central,NY,B2B,2021-09-01,Inactive,0,33.0
CUST-0211,Joseph Anderson,,,East,,,2024-03-28,Active,1,73.0
CUST-0459,Steven Friedman,natalie15@example.com,2138759271.0,South,MA,B2C,2021-11-10,Active,1,38.0
CUST-0924,Mike Perry,edwardmolina@example.com,1472827090.0,North,CO,Guest,2021-02-18,Churned,0,74.0
CUST-0933,Ronnie Torres,hbenitez@example.net,6346066643.0,West,IL,B2C,2025-06-13,Active,1,18.0
CUST-0914,,laura29@example.org,8964546553.0,East,NC,B2C,2023-09-24,Churned,0,63.0
CUST-0406,Monica Baker,kenneth10@example.com,1858018569.0,East,IL,B2C,2025-02-14,Active,1,67.0
CUST-0064,Amy Russell,,,Central,,,2021-09-16,Inactive,0,38.0
CUST-0320,Brian Lambert,,,East,,,2023-03-08,Active,1,64.0
CUST-0469,Jonathan Stewart,bmcgee@example.org,7450090255.0,Central,CA,B2C,2024-03-22,Active,1,24.0
CUST-0441,Curtis Ortiz,tthomas@example.org,2552578284.0,North,TN,B2B,2021-09-10,Churned,0,42.0
CUST-0101,Robin Pierce,qmiller@example.com,7929622292.0,West,CA,B2C,2026-01-17,Inactive,0,44.0
CUST-0337,Paul Neal,shawn75@example.net,4855749821.0,Central,NY,B2C,2021-03-15,Inactive,0,48.0
CUST-0451,Jennifer James,thomas23@example.net,1245650448.0,Central,FL,B2C,2020-10-26,Active,1,49.0
CUST-0409,James Burns,christopher86@example.org,4692124471.0,West,TN,Guest,2021-05-23,Inactive,0,26.0
CUST-0108,Katie Hoover,,,West,,,2023-04-20,Active,1,39.0
CUST-0169,Rebecca Huang,,,West,NY,,2025-05-07,Active,1,38.0
CUST-0040,Donald Smith,,,South,,,2025-10-21,Active,1,59.0
CUST-0199,Brian Murphy,,,North,,,2025-01-18,Active,1,21.0
CUST-0238,Regina Roberts,,9850821486.0,South,CO,Guest,2023-05-07,Churned,0,52.0
CUST-0576,Mary Shepard,clarkrandy@example.org,3705802566.0,South,TX,B2B,2021-06-22,Active,1,67.0
CUST-0193,Harold Morgan,mariacohen@example.net,6361103712.0,Central,FL,B2C,2023-03-29,Active,1,70.0
CUST-0705,Karen Lopez,xbridges@example.com,8342346199.0,East,NY,B2C,2022-03-17,Churned,0,36.0
CUST-0724,Anne Schmidt,stephanie69@example.net,6325122572.0,North,WA,B2C,2026-03-21,Active,1,47.0
CUST-0067,Michael Yates,,,South,,,2020-08-28,Active,1,70.0
CUST-0068,James Elliott,,,West,,,2024-12-14,Active,1,38.0
CUST-0921,Shelby Bartlett,jessicaerickson@example.net,1464712463.0,East,WA,B2C,2021-10-30,Active,1,31.0
CUST-0498,Allison Black,willie87@example.com,1590892613.0,North,TN,B2C,2025-01-02,Active,1,53.0
CUST-0214,Caroline David,georgeweber@example.net,8519941013.0,West,CO,B2B,2021-03-16,Churned,0,67.0
CUST-0831,James Stevens,thompsondonna@example.com,7580996132.0,West,FL,B2B,2024-03-28,Active,1,48.0
CUST-0835,Hannah Harmon,hubbardcolleen@example.com,8120594389.0,West,OH,B2B,2021-07-02,Active,1,33.0
CUST-0650,Stacy Patterson,franklinmadison@example.net,5371189547.0,South,NC,B2C,2023-03-05,Active,1,62.0
CUST-0351,Chelsea Myers,bowerslaura@example.org,8227837693.0,Central,MI,Guest,2024-10-24,Active,1,67.0
CUST-0862,Pamela Sullivan,hillchristopher@example.com,1512840333.0,Central,GA,B2C,2023-02-09,Active,1,47.0
CUST-0603,Jordan Parsons,bgross@example.net,4522372817.0,Central,MA,B2B,2022-08-26,Active,1,74.0
CUST-0559,Katherine Smith,charlesnathan@example.com,5379337563.0,West,NY,B2C,2026-02-27,Active,1,26.0
CUST-0878,Megan Anderson,carpenterjorge@example.net,8940960035.0,West,NY,B2C,2022-12-25,Active,1,24.0
CUST-0788,Tanya Moore,,,West,,,2021-08-24,Active,1,69.0
CUST-0931,,abigailfernandez@example.org,7137399006.0,South,TN,B2C,2020-09-21,Churned,0,45.0
CUST-0746,Summer Hoover,bryantgeorge@example.net,4311775331.0,South,AZ,Guest,2021-11-16,Inactive,0,33.0
CUST-0309,Jonathon Knapp,ystephens@example.com,3845184894.0,West,OH,B2C,2025-05-12,Inactive,0,23.0
CUST-0707,Vanessa Taylor,dawnperry@example.com,4084964985.0,West,CA,B2B,2024-07-20,Inactive,0,
CUST-0405,Jessica Brown,jamie36@example.net,9674783667.0,East,NY,B2C,2021-10-24,Active,1,53.0
CUST-0003,Jennifer Cole,lisa02@example.net,1361559407.0,North,TN,B2C,2025-12-09,Active,1,27.0
CUST-0431,Daniel Turner,asilva@example.net,5180632543.0,North,CA,B2C,2023-05-18,Active,1,20.0
CUST-0545,Austin Walker,lynchjenny@example.com,9537030453.0,North,MA,B2C,2025-07-07,Active,1,28.0
CUST-0771,Nicole Johnson,iford@example.net,1690250429.0,North,MI,B2B,2024-04-25,Active,1,19.0
CUST-0345,Greg Martinez,ebenson@example.org,1976004908.0,East,CA,B2C,2020-06-27,Active,1,68.0
CUST-0980,Sara Wright,vallen@example.org,2033228556.0,West,CA,B2C,2025-09-26,Active,1,66.0
CUST-0987,Jordan Kelly,,,East,,,2025-04-14,Active,1,27.0
CUST-0785,William Franco,evanwilson@example.com,4854781506.0,North,TN,B2C,2024-12-18,Active,1,72.0
CUST-0484,Stephanie Ferguson,hstokes@example.org,1334327560.0,North,MA,B2C,2023-12-18,Active,1,23.0
CUST-0916,Katherine Young,kiddmichael@example.com,6907977961.0,South,CA,B2C,2023-12-13,Active,1,64.0
CUST-0358,Tim Wilson,parkerjudith@example.net,7543840460.0,Central,IL,B2B,2020-11-25,Active,1,58.0
CUST-0558,David Montgomery,kimberlywilson@example.org,7995946521.0,West,TN,B2C,2022-05-12,Active,1,
CUST-0586,James Baker,hgarrett@example.net,5131220681.0,East,PA,B2C,2025-11-27,Active,1,60.0
CUST-0722,John Alvarez,noahthornton@example.com,5131009431.0,Central,TX,B2C,2021-11-01,Churned,0,22.0
CUST-0965,Mrs. Julia Greene,sloandennis@example.org,9722660256.0,South,OH,B2C,2026-01-16,Active,1,36.0
CUST-0881,Tammy Black,ustafford@example.net,1471607360.0,West,OH,B2B,2025-08-16,Inactive,0,18.0
CUST-0219,Bianca Wood,,,East,,,2023-05-08,Inactive,0,56.0
CUST-0360,Cameron Norman,jessica10@example.com,4983248262.0,Central,TN,B2B,2022-08-13,Active,1,67.0
CUST-0754,Anita Serrano,,,North,,,2024-08-30,Churned,0,27.0
CUST-0548,Christopher Johnson,dianacantrell@example.org,1289487060.0,West,MA,Guest,2026-05-09,Active,1,54.0
CUST-0248,Rachel Bradley,gregorychase@example.com,3738168460.0,South,NY,Guest,2020-07-12,Active,1,48.0
CUST-0768,John Mack,simmonsphillip@example.net,1432290310.0,Central,MA,B2C,2020-10-14,Active,1,37.0
CUST-0903,Jared Sandoval,,,West,,,2024-06-20,Active,1,65.0
CUST-0307,Andrea Abbott,ichambers@example.net,4053021465.0,West,OH,B2C,2022-11-21,Active,1,35.0
CUST-0107,Juan Reyes,michellehill@example.com,3798089324.0,West,CA,B2C,2024-06-05,Active,1,63.0
CUST-0988,Andrew Anderson,ppalmer@example.com,9310720113.0,West,MA,Guest,2022-06-24,Inactive,0,62.0
CUST-0056,Diane Beck,clarence34@example.org,7940139904.0,Central,CA,B2C,2021-11-08,Active,1,70.0
CUST-0121,James Webb,patrickhoward@example.com,1638424981.0,South,MI,Guest,2022-12-24,Active,1,27.0
CUST-0801,Terry Newman,,8043878753.0,East,GA,B2C,2023-12-17,Active,1,53.0
CUST-0026,Maria Brown,lauren13@example.org,1542160733.0,East,IL,B2C,2026-02-20,Churned,0,45.0
CUST-0073,Tracey Higgins,tamirodriguez@example.org,8851604817.0,East,WA,B2C,2021-11-02,Active,1,38.0
CUST-0210,Patricia Morrow,,,South,,,2024-06-25,Active,1,50.0
CUST-0045,Tim Patton,vpham@example.org,1579965075.0,West,FL,B2C,2020-08-15,Active,1,30.0
CUST-0315,Jeffrey Horton,carlos01@example.org,9500369155.0,Central,MA,B2C,2023-05-17,Active,1,42.0
CUST-0867,Nicholas Green,,,East,,,2024-04-01,Active,1,24.0
CUST-0654,Stephanie Ford,gdavis@example.org,6434481230.0,Central,FL,B2C,2020-11-15,Active,1,39.0
CUST-0329,Joshua Ritter,,,West,,,2021-05-19,Active,1,27.0
CUST-0926,Jessica Carrillo,millerleroy@example.org,3815352373.0,West,CA,B2C,2023-06-27,Churned,0,24.0
CUST-0352,David Little,,,South,PA,,2024-08-14,Inactive,0,69.0
CUST-0957,Jordan Gordon,adamslucas@example.net,1302131251.0,Central,CO,B2B,2025-05-24,Active,1,20.0
CUST-0636,Kari Harper,,,South,TX,,2021-04-04,Active,1,22.0
CUST-0715,Linda Torres,,,West,,,2020-09-16,Active,1,45.0
CUST-0371,David Bruce,,,South,,,2021-03-15,Active,1,53.0
CUST-0686,Christine Bell,joseph49@example.org,8056730306.0,East,IL,B2C,2025-03-03,Active,1,33.0
CUST-0811,Calvin Anderson,colemankathryn@example.org,1781932426.0,West,GA,B2C,2026-04-06,Active,1,37.0
CUST-0539,Kelly Brooks,gwendolynstewart@example.com,6891382496.0,West,TX,B2C,2025-04-29,Active,1,53.0
CUST-0615,Tammy King,zwest@example.org,9294209548.0,North,IL,Guest,2023-08-08,Inactive,0,30.0
CUST-0465,Mercedes Davis,timothyalvarado@example.net,3017026952.0,East,MI,B2C,2024-10-28,Inactive,0,51.0
CUST-0999,Elizabeth Allen,,,East,,,2023-04-16,Inactive,0,52.0
CUST-0363,April Trevino,sanchezthomas@example.com,9223306046.0,South,AZ,B2C,2022-05-09,Active,1,62.0
CUST-0544,Michelle Martin,,,West,,,2025-08-19,Inactive,0,39.0
CUST-0618,Steve Wright,,,West,,,2021-08-03,Active,1,62.0
CUST-0061,Terry Griffin,juliawells@example.com,4748467737.0,Central,NY,B2C,2024-09-14,Churned,0,68.0
CUST-0842,Lori Rubio,vargasjoshua@example.net,5053194979.0,West,WA,B2C,2023-10-31,Active,1,66.0
CUST-0025,,uowens@example.org,5315869232.0,South,TN,B2C,2022-01-11,Active,1,27.0
CUST-0093,Julie Johnson,jasmine71@example.net,5552312432.0,Central,NY,B2C,2024-03-29,Inactive,0,33.0
CUST-0635,Brian Carter,yhall@example.net,8827788160.0,Central,FL,Guest,2026-01-09,Inactive,0,64.0
CUST-0382,Nathaniel Crawford,lvega@example.com,3780782357.0,Central,IL,B2C,2025-04-16,Active,1,46.0
CUST-0507,Sarah Phillips,kennetheaton@example.net,4194168006.0,North,CA,B2B,2023-09-26,Active,1,24.0
CUST-0694,Rebecca Nguyen,sparksamanda@example.com,9890463378.0,West,TX,B2B,2023-11-11,Active,1,45.0
CUST-0875,Judith Smith,monicamccann@example.com,1221666708.0,Central,PA,B2B,2025-05-15,Active,1,31.0
CUST-0854,Sandra Herring,tyler13@example.net,4565237341.0,East,WA,B2C,2021-06-08,Active,1,54.0
CUST-0973,Krystal Jones,julieanderson@example.net,7759833991.0,East,AZ,B2B,2026-02-16,Churned,0,20.0
CUST-0632,Christy Payne,ana92@example.net,4408222694.0,North,TN,B2C,2022-03-10,Churned,0,33.0
CUST-0245,Tonya Howe,smithashley@example.org,9446660993.0,East,AZ,B2C,2021-12-29,Inactive,0,39.0
CUST-0347,Megan Jones,,,South,,,2021-07-17,Inactive,0,45.0
CUST-0353,Scott Carroll,amy27@example.org,1797927033.0,South,CO,B2C,2023-02-07,Active,1,43.0
CUST-0276,Dennis Hunt,,,South,,,2025-12-05,Active,1,22.0
CUST-0266,Nicole Parsons,williamroberts@example.net,1575899757.0,North,CO,B2C,2022-05-28,Active,1,28.0
CUST-0308,Matthew Espinoza,,,West,,,2022-12-26,Active,1,68.0
CUST-0919,Shelly Munoz,mccarthysara@example.com,7911918623.0,South,MI,B2C,2021-09-11,Churned,0,
CUST-0529,Brandy Hunt,,,North,TX,B2C,2025-04-15,Active,1,20.0
CUST-0515,Sherry Ford,kim78@example.org,8743380054.0,East,WA,B2B,2026-03-11,Inactive,0,23.0
CUST-0111,John Mcintyre,qhughes@example.net,2345054156.0,West,AZ,B2C,2020-10-12,Churned,0,41.0
CUST-0737,James Norris,imartinez@example.com,1826078701.0,East,MA,Guest,2025-01-02,Active,1,35.0
CUST-0579,Cameron Rose,,,West,,,2022-10-29,Inactive,0,49.0
CUST-0535,Autumn Olson,,,North,MA,B2C,2024-12-06,Active,1,24.0
CUST-0696,Rachel Graham,amy32@example.net,8000258955.0,South,MI,Guest,2026-04-25,Active,1,28.0
CUST-0534,Chase Davis,mvalenzuela@example.org,5780182043.0,South,MA,B2C,2026-03-26,Churned,0,52.0
CUST-0449,Leah Jackson,jennifer06@example.net,6627301471.0,Central,AZ,B2C,2022-03-17,Active,1,41.0
CUST-0295,Kevin James,,,Central,AZ,B2C,2024-01-31,Inactive,0,25.0
CUST-0300,Eric Snyder,,,East,,,2021-11-07,Active,1,52.0
CUST-0825,Micheal Perkins,katelyn65@example.com,4079799667.0,South,IL,B2C,2024-08-27,Active,1,56.0
CUST-0759,Andrea Young,uwatkins@example.com,1871114837.0,South,GA,B2C,2024-07-15,Churned,0,51.0
CUST-0996,Jeremiah Welch,bradley03@example.org,8395613723.0,North,TN,B2C,2021-05-22,Active,1,28.0
CUST-0750,David Perkins,craigboone@example.net,5978559821.0,West,OH,B2C,2025-02-12,Churned,0,32.0
CUST-0665,Candace Mitchell Dds,tammycurry@example.com,1347541022.0,South,OH,B2C,2023-12-16,Inactive,0,38.0
CUST-0571,Christina Johnston,,,East,,,2026-03-11,Inactive,0,74.0
CUST-0291,Daniel Thomas,thickman@example.org,1988165803.0,South,CO,B2C,2023-02-01,Active,1,25.0
CUST-0775,Christopher Hansen,castrokim@example.org,8392836929.0,East,CO,B2C,2020-10-03,Active,1,24.0
CUST-0138,Scott Thomas,amberlindsey@example.org,5454019380.0,South,OH,Guest,2025-06-24,Active,1,45.0
CUST-0410,Jaclyn Griffin,scott43@example.com,1414066504.0,South,GA,B2B,2023-07-26,Churned,0,48.0
CUST-0421,Melinda Compton,dennismccann@example.com,2021946723.0,South,WA,B2C,2024-08-04,Active,1,68.0
CUST-0742,Joseph Flowers,,,West,,,2025-11-18,Active,1,75.0
CUST-0797,Tyler Avila,smithdanielle@example.com,1244731497.0,East,OH,B2B,2023-04-07,Churned,0,38.0
CUST-0287,Sarah Valdez,davisnicholas@example.net,6913577594.0,Central,NY,B2C,2022-12-17,Active,1,68.0
CUST-0592,Corey Skinner,hclayton@example.net,8403553380.0,South,CO,B2C,2025-01-11,Inactive,0,40.0
CUST-0848,Ronald Brown,meghanadams@example.com,6085721696.0,West,OH,B2B,2023-11-25,Active,1,45.0
CUST-0030,Rachel Mitchell,smoore@example.org,1665648236.0,South,MI,B2C,2022-08-31,Active,1,60.0
CUST-0261,Michael Stanley,,2277167014.0,East,CA,B2C,2023-08-15,Inactive,0,28.0
CUST-0079,David Michael,nicole37@example.net,4284210205.0,South,MI,B2C,2022-09-10,Active,1,18.0
CUST-0216,Pamela Butler,jimenezcourtney@example.com,1920999347.0,Central,GA,B2B,2022-08-30,Active,1,68.0
CUST-0789,Rebecca Chandler,hmorgan@example.net,1941314675.0,West,TX,B2B,2025-04-16,Churned,0,51.0
CUST-0166,Sonia Day,michelle52@example.com,2477358662.0,Central,WA,B2C,2024-03-24,Inactive,0,56.0
CUST-0249,Angie Caldwell,tinawoods@example.org,7217525007.0,East,FL,B2C,2024-01-18,Active,1,19.0
CUST-0786,David Lopez,wadetiffany@example.org,2032963347.0,South,GA,B2C,2025-04-18,Inactive,0,57.0
CUST-0779,,rodriguezjoshua@example.net,9229812099.0,East,WA,B2C,2024-04-21,Active,1,61.0
CUST-0963,,christopher12@example.net,9015959194.0,East,GA,B2C,2022-10-21,Inactive,0,60.0
CUST-0335,Sharon Martinez Dvm,dustinmorris@example.org,3327195005.0,South,AZ,B2C,2020-11-30,Active,1,52.0
CUST-0598,Jonathan Parks,sarah00@example.com,1949160169.0,South,CO,B2C,2021-03-04,Active,1,36.0
CUST-0927,Peter Keller,rachelbrown@example.net,3815899886.0,Central,WA,B2B,2024-02-07,Active,1,23.0
CUST-0066,Tiffany Barnes,tracynelson@example.com,2913431611.0,West,NY,B2C,2023-09-23,Churned,0,26.0
CUST-0366,John Campbell,mark87@example.org,6764472649.0,North,AZ,B2C,2023-10-27,Active,1,32.0
CUST-0978,Wanda Perez,prosario@example.org,4315551651.0,West,OH,B2C,2025-04-10,Active,1,41.0
CUST-0255,Kelsey Cox,brownamy@example.net,8184992618.0,Central,TX,B2C,2021-02-08,Inactive,0,28.0
